id,title,score,time,like,dislike,reply,content,book
1168972,读书无用,4.0,2007-06-17 15:00:04,296,21,55,"                        钝感的人看了找到自信，敏感的人看完开始装傻。 道理都是人讲的。当一个人对生活缺乏热情，我们说他不够敏感。当一个人风风火火，一扎就疼，我们说遇事要缓，等一等，也就是钝感一点。 日本媒体评价此书说颠覆了敏感的人比钝感的人优秀这一社会常识，还说以人生智慧而言，钝感...

                         (展开)
                    ",钝感力
1207271,这也叫书？！,1.0,2007-09-13 09:27:11,92,6,16,"                        如果这样的书也叫书的话，那样假我以数日，我可以剪刀加浆糊弄出好几本。不知道作者是不是也这样搞出来的。 难以相信，以日本人的严谨和务实竟然会写出这种垃圾书——作者活生生捏造一个“钝感力”的概念出来，而这概念只不过是“忍耐”“宽容”“理解”“淡然处之”“听而不闻...

                         (展开)
                    ",钝感力
1346822,对于某些人来说很亲切的一本书,5.0,2008-04-07 17:13:11,99,25,33,"                        这本书引起这么大争议是我没有想到的。因为我在纸老虎看到之后买下，一顿饭功夫读完，感觉还是很惬意。  怎么说，就像一个很少见的朋友，大家一次邂逅，虽然很少见面，很少聊天，但是这次相遇却是非常舒服，而且仿佛都能看透对方最近的状态，说起话来也是轻松，惬意。“知心”...

                         (展开)
                    ",钝感力
1195635,敏感还是钝感,3.0,2007-08-18 09:58:15,50,3,13,"                        我从来没有认为“敏感”是个褒义词，相反，“世上忧患敏感始”。林黛玉敏感，伤月悲秋，寸寸断肠，是个短命人。契诃夫笔下那个小公务员更敏感，一个喷涕溅到了上司的身上，最后竟然惊恐得送掉了小命。我自己似乎也属敏感一族。小学念的是私立，学费是分期付清的，我家常常是交...

                         (展开)
                    ",钝感力
6321126,没错，生活就是没道理，所以你需要钝感力,5.0,2013-10-10 13:03:22,53,14,8,"                             写过火辣辣的《失乐园》的渡边淳一，还有本有趣的励志书叫《钝感力》。“钝感力”这个词，没有对应的中文，勉强形容的话就是褒义的“二皮脸”，不轻易被小事烦扰，不高兴的事儿不往心里去。因为心宽，啥事儿都不是事儿，抗打击能力强大，人生自然就云淡风轻了。    窃以为...

                         (展开)
                    ",钝感力
2054402,愚笨未必是坏事,5.0,2009-06-03 22:27:55,43,7,11,"                        这本书是我最喜欢的励志书籍之一。 每当我郁闷的时候，都喜欢拿出来翻一翻。 渡边也是一个医生。所以，他的文字常常能引起我的共鸣。 我读医以后，常常感慨自己的感性匮乏。 我失去了原有细腻的心境，也无法写出动人的字眼。 为此，我曾经非常难过， 认为理性思维逐渐荼毒了我...

                         (展开)
                    ",钝感力
1765434,作为发明家的渡边淳一,4.0,2009-03-01 14:20:51,36,4,6,"                        渡边淳一有很多身份，为大家所知的有医生和作家。作为一位弃医从文的作家，渡边淳一与鲁迅有比较相似的人生轨迹。渡边淳一之于日本当然比不上鲁迅之于中国，不过渡边淳一在日本文学中还是有其位置的，被日本媒体冠以“‘中间文学’第一人”、“现代男人的代言人”、“日本现代...

                         (展开)
                    ",钝感力
3117768,三个字决定一本书的成功,1.0,2010-03-23 23:19:30,26,0,10,"                        最早知道这本书，是看到受君的推荐。说实话，一看到这本书的名字：“钝感力”，就让敏感的我觉得眼前一亮，此书一定要读。  但看完后，感觉此书的精华就只在于标题这三个字；其他所有的章节，在我看来，都是试图努力的往这个标题下塞点什么。  但就是这三个字的标题，成就了这...

                         (展开)
                    ",钝感力
1480019,自欺欺人的『钝感力』,3.0,2008-08-25 21:28:26,41,20,13,"                        『钝感』是相对于『敏感』而言的新概念。我是冲着『渡边淳一』的大名购买的这本书——但是读了以后略有失望，没想到创作过这么多经典小说的此人竟会写出如此一部口水之作。  作者的意思，是既然现代人比古代人更容易受到社会的伤害，那么不妨变得『钝感』一点，反而可以得到更...

                         (展开)
                    ",钝感力
13628889,太烂了,1.0,2021-06-23 14:49:25,20,0,3,"                        花了几分钟去了解了一些渡边淳一，履历辉煌，但是《钝感力》这本书带给我的感受是非常不适的，首先我认为他最大的问题是出在，他提及了拥有钝感力的各种好处，但是他并没有给出解决方法，只是不断的去加深这个概念。对我来说，这样的一本书就是失败的，他传递了焦虑。这就类似...

                         (展开)
                    ",钝感力
